"T.P.College,madhepura S.O",852113,S.O,Non-Delivery,Saharsa,BhagalPur,Bihar,Madhepura,Madhepura,BIHAR
Matihana B.O,832101,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Malua B.O,832101,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Murakati B.O,832101,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Balibandh B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum,  Jamshedpur",East Singhbhum,JHARKHAND
Baramara B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Bend B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Bhandaru B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Gandanata B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kalapathar B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kalidaspur B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Katushole B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kendadangri B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Lodhasholi B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Mural B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Rupuskundi B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Sardiha B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Simdi B.O,832301,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Arjunbera B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Balijuri B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Baliaguri B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Bhalki B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kaliam B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kantaboni B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kokpara B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Mohulishole B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Matiabandhi B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Murathakura B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Nutangarh B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Panduda B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Rautara B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Shyam Sunderpur B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Singhpura B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Sarjamda B.O,831002,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kamalpur B.O,832105,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Luabasa B.O,831004,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Barakurshi B.O,832304,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Chorinda B.O,832304,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kesharpur B.O,832304,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Suklara B.O,832304,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Kapali B.O,831012,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",Seraikela-kharsawan,JHARKHAND
Karandih B.O,831002,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Bhalki B.O,831002,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
"IAF Stn "" S.O",585401,S.O,Non-Delivery,Bidar,North Karnataka,Karnataka,Bidar,Bidar,KARNATAKA
"Central University of Karnataka,Kad",585367,S.O,Delivery,Kalaburagi,North Karnataka,Karnataka,Alund,Kalaburagi,KARNATAKA
"Ongc Complex,panvel S.O",410221,S.O,Delivery,Navi Mumbai,Navi Mumbai,Maharashtra,Panvel,Raigarh(MH),MAHARASHTRA
"Guruwar Peth,tasgaon S.O",416312,S.O,Non-Delivery,Sangli,Goa-Panaji,Maharashtra,Tasgaon,Sangli,MAHARASHTRA
"Khanbhag,sangli At Midc Miraj S.O",416410,S.O,Non-Delivery,Sangli,Goa-Panaji,Maharashtra,Miraj,Sangli,MAHARASHTRA
"Airport, Chikalthana S.O",431007,S.O,Non-Delivery,Aurangabad(Maharashtra),Aurangabad,Maharashtra,Aurangabad,Aurangabad,MAHARASHTRA
"Gaul, Khurd B.O",445215,B.O,Delivery,Yeotmal,Nagpur,Maharashtra,Pusad,Yavatmal,MAHARASHTRA
"S,hlimen B.O",796005,B.O,Delivery,Mizoram,North Eastern,North Eastern,Tlangnuam (Part),Aizawl,MIZORAM
